tags,month_year,order,rank
ballad,Jan 2022,1,5
ballad,Feb 2022,2,5
ballad,Mar 2022,3,3
ballad,Apr 2022,4,3
ballad,May 2022,5,3
ballad,Jun 2022,6,5
dance,Jan 2022,1,4
electronic,July 2022,7,4
folk,Jun 2022,6,3
hip-hop,Feb 2022,2,2
indie,Jan 2022,1,2
indie,Feb 2022,2,6
indie,Mar 2022,3,2
indie,Apr 2022,4,6
indie,May 2022,5,6
indie,Jun 2022,6,6
indie,July 2022,7,5
indie,Aug 2022,8,3
indie,Sep 2022,9,6
indie,Oct 2022,10,5
indie,Nov 2022,11,5
indie,Dec 2022,12,5
indie pop,Aug 2022,8,4
indie pop,Sep 2022,9,4
k-indie,Nov 2022,11,2
k-pop,Jan 2022,1,3
k-pop,Feb 2022,2,4
k-pop,Mar 2022,3,6
k-pop,Apr 2022,4,2
k-pop,May 2022,5,1
k-pop,Jun 2022,6,2
k-pop,July 2022,7,6
k-pop,Aug 2022,8,6
k-pop,Sep 2022,9,6
k-pop,Oct 2022,10,3
korean,Jan 2022,1,1
korean,Feb 2022,2,1
korean,Mar 2022,3,1
korean,Apr 2022,4,1
korean,May 2022,5,2
korean,Jun 2022,6,1
korean,July 2022,7,1
korean,Aug 2022,8,2
korean,Sep 2022,9,2
korean,Oct 2022,10,1
korean,Nov 2022,11,1
korean,Dec 2022,12,1
male vocalist,May 2022,5,4
melodic hardcore,Apr 2022,4,4
melodic hardcore,May 2022,5,5
ost,Mar 2022,3,4
pop,Jun 2022,6,4
pop,July 2022,7,3
pop,Aug 2022,8,5
pop,Sep 2022,9,3
pop,Oct 2022,10,6
pop,Nov 2022,11,6
pop,Dec 2022,12,3
r&b,July 2022,7,2
r&b,Aug 2022,8,1
r&b,Sep 2022,9,1
r&b,Oct 2022,10,2
r&b,Nov 2022,11,3
r&b,Dec 2022,12,2
rap,Feb 2022,2,3
rap,Mar 2022,3,5
rap,Apr 2022,4,5
rap,May 2022,5,6
rap,Jun 2022,6,6
rap,July 2022,7,6
rap,Aug 2022,8,6
rap,Sep 2022,9,6
rap,Oct 2022,10,4
rap,Nov 2022,11,4
soul,Sep 2022,9,5
soul,Oct 2022,10,6
soul,Nov 2022,11,6
soul,Dec 2022,12,4
