tags,month_year,order,rank
ballad,Jan 2022,7,5
ballad,Feb 2022,8,5
ballad,Mar 2022,9,3
ballad,Apr 2022,10,3
ballad,May 2022,11,3
ballad,Jun 2022,12,5
dance,Jan 2022,7,4
electronic,July 2022,13,4
folk,Jun 2022,12,3
hip-hop,July 2021,1,3
hip-hop,Aug 2021,2,3
hip-hop,Sep 2021,3,3
hip-hop,Oct 2021,4,3
hip-hop,Nov 2021,5,3
hip-hop,Dec 2021,6,3
hip-hop,Jan 2022,7,6
hip-hop,Feb 2022,8,2
hip-hop,Mar 2022,9,6
hip-hop,Apr 2022,10,6
hip-hop,May 2022,11,6
hip-hop,Jun 2022,12,6
hip-hop,July 2022,13,6
hip-hop,Aug 2022,14,6
hip-hop,Sep 2022,15,6
hip-hop,Oct 2022,16,6
hip-hop,Nov 2022,17,6
hip-hop,Dec 2022,18,6
hip-hop,Jan 2023,19,3
hip-hop,Feb 2023,20,4
hip-hop,Mar 2023,21,3
hip-hop,Apr 2023,22,4
hip-hop,May 2023,23,6
hip-hop,Jun 2023,24,6
hip-hop,Jul 2023,25,5
indie,Aug 2021,2,4
indie,Sep 2021,3,6
indie,Oct 2021,4,4
indie,Nov 2021,5,6
indie,Dec 2021,6,6
indie,Jan 2022,7,2
indie,Feb 2022,8,6
indie,Mar 2022,9,2
indie,Apr 2022,10,6
indie,May 2022,11,6
indie,Jun 2022,12,6
indie,July 2022,13,5
indie,Aug 2022,14,3
indie,Sep 2022,15,6
indie,Oct 2022,16,5
indie,Nov 2022,17,5
indie,Dec 2022,18,5
indie,Jan 2023,19,6
indie,Feb 2023,20,6
indie,Mar 2023,21,6
indie,Apr 2023,22,6
indie,May 2023,23,6
indie,Jun 2023,24,4
indie pop,Aug 2022,14,4
indie pop,Sep 2022,15,4
k-indie,Nov 2022,17,2
k-pop,July 2021,1,2
k-pop,Aug 2021,2,2
k-pop,Sep 2021,3,2
k-pop,Oct 2021,4,2
k-pop,Nov 2021,5,2
k-pop,Dec 2021,6,4
k-pop,Jan 2022,7,3
k-pop,Feb 2022,8,4
k-pop,Mar 2022,9,6
k-pop,Apr 2022,10,2
k-pop,May 2022,11,1
k-pop,Jun 2022,12,2
k-pop,July 2022,13,6
k-pop,Aug 2022,14,6
k-pop,Sep 2022,15,6
k-pop,Oct 2022,16,3
k-pop,Dec 2022,18,6
k-pop,Jan 2023,19,6
k-pop,Feb 2023,20,6
k-pop,Mar 2023,21,6
k-pop,Apr 2023,22,3
k-pop,May 2023,23,3
k-pop,Jun 2023,24,2
k-pop,Jul 2023,25,3
korean,July 2021,1,1
korean,Aug 2021,2,1
korean,Sep 2021,3,1
korean,Oct 2021,4,1
korean,Nov 2021,5,1
korean,Dec 2021,6,1
korean,Jan 2022,7,1
korean,Feb 2022,8,1
korean,Mar 2022,9,1
korean,Apr 2022,10,1
korean,May 2022,11,2
korean,Jun 2022,12,1
korean,July 2022,13,1
korean,Aug 2022,14,2
korean,Sep 2022,15,2
korean,Oct 2022,16,1
korean,Nov 2022,17,1
korean,Dec 2022,18,1
korean,Jan 2023,19,2
korean,Feb 2023,20,2
korean,Mar 2023,21,2
korean,Apr 2023,22,1
korean,May 2023,23,1
korean,Jun 2023,24,1
korean,Jul 2023,25,1
male vocalist,May 2022,11,4
melodic hardcore,Apr 2022,10,4
melodic hardcore,May 2022,11,5
ost,Mar 2022,9,4
pop,Jun 2022,12,4
pop,July 2022,13,3
pop,Aug 2022,14,5
pop,Sep 2022,15,3
pop,Oct 2022,16,6
pop,Nov 2022,17,6
pop,Dec 2022,18,3
pop,Jan 2023,19,6
pop,Feb 2023,20,5
pop,Mar 2023,21,6
pop,Apr 2023,22,5
pop,May 2023,23,4
r&b,July 2021,1,5
r&b,Aug 2021,2,6
r&b,Sep 2021,3,4
r&b,Oct 2021,4,5
r&b,Nov 2021,5,5
r&b,Dec 2021,6,5
r&b,Jan 2022,7,6
r&b,Feb 2022,8,6
r&b,Mar 2022,9,6
r&b,Apr 2022,10,6
r&b,May 2022,11,6
r&b,Jun 2022,12,6
r&b,July 2022,13,2
r&b,Aug 2022,14,1
r&b,Sep 2022,15,1
r&b,Oct 2022,16,2
r&b,Nov 2022,17,3
r&b,Dec 2022,18,2
r&b,Jan 2023,19,4
r&b,Feb 2023,20,3
r&b,Mar 2023,21,1
r&b,Apr 2023,22,2
r&b,May 2023,23,2
r&b,Jun 2023,24,5
r&b,Jul 2023,25,2
rap,July 2021,1,4
rap,Aug 2021,2,5
rap,Sep 2021,3,5
rap,Oct 2021,4,6
rap,Nov 2021,5,4
rap,Dec 2021,6,2
rap,Jan 2022,7,6
rap,Feb 2022,8,3
rap,Mar 2022,9,5
rap,Apr 2022,10,5
rap,May 2022,11,6
rap,Jun 2022,12,6
rap,July 2022,13,6
rap,Aug 2022,14,6
rap,Sep 2022,15,6
rap,Oct 2022,16,4
rap,Nov 2022,17,4
rap,Dec 2022,18,6
rap,Jan 2023,19,1
rap,Feb 2023,20,1
rap,Mar 2023,21,4
rap,Apr 2023,22,6
rap,May 2023,23,5
rap,Jun 2023,24,3
rap,Jul 2023,25,4
soul,Sep 2022,15,5
soul,Oct 2022,16,6
soul,Nov 2022,17,6
soul,Dec 2022,18,4
soul,Jan 2023,19,5
soul,Feb 2023,20,6
soul,Mar 2023,21,5
